id,name,state,city,roof_area_sqft,latitude,longitude,company_id,building_type,land_use_type
bru-tx-dallas-000,Dallas Regional Distribution Center 0,TX,Dallas,91163,32.805097,-96.904498,cmp-intc,manufacturing,logistics
bru-tx-houston-001,Houston Industrial Park Building 1,TX,Houston,290878,29.688449,-95.307053,cmp-hd,distribution,industrial
bru-tx-austin-002,Austin Manufacturing Campus 2,TX,Austin,310707,30.196865,-97.798815,cmp-gm,food_processing,industrial
bru-tx-sanantonio-003,San Antonio Cold Storage Facility 3,TX,San Antonio,404255,29.410858,-98.538798,cmp-tsla,food_processing,commercial
bru-tx-fortworth-004,Fort Worth Fulfillment Hub 4,TX,Fort Worth,367223,32.710017,-97.392631,cmp-fdx,distribution,commercial
bru-tx-elpaso-005,El Paso Semiconductor Warehouse 5,TX,El Paso,311304,31.687409,-106.413551,cmp-wmt,food_processing,logistics
bru-tx-mesquite-006,Mesquite Chemical Processing Annex 6,TX,Mesquite,127580,32.702469,-96.507095,cmp-ko,warehouse,logistics
bru-tx-laredo-007,Laredo Food & Beverage Plant 7,TX,Laredo,331442,27.474612,-99.554698,cmp-ko,distribution,industrial
bru-tx-corpuschristi-008,Corpus Christi Automotive Supplier Complex 8,TX,Corpus Christi,258694,27.865967,-97.426372,cmp-xom,manufacturing,commercial
bru-tx-plano-009,Plano Logistics Cross-Dock 9,TX,Plano,345637,32.993949,-96.662561,cmp-tgt,manufacturing,logistics
bru-az-phoenix-010,Phoenix Printing & Packaging Plant 10,AZ,Phoenix,232809,33.491243,-112.144051,cmp-intc,warehouse,industrial
bru-az-tucson-011,Tucson Data Hall Support Building 11,AZ,Tucson,210409,32.171229,-111.072938,cmp-mu,distribution,industrial
bru-az-mesa-012,Mesa Aerospace Components Plant 12,AZ,Mesa,96256,33.494365,-111.815220,cmp-gm,food_processing,commercial
bru-az-chandler-013,Chandler Plastics Extrusion Facility 13,AZ,Chandler,150005,33.379243,-111.808573,cmp-ups,manufacturing,logistics
bru-az-glendale-014,Glendale Metal Finishing Facility 14,AZ,Glendale,304605,33.551046,-112.242197,cmp-cvs,warehouse,industrial
bru-az-scottsdale-015,Scottsdale Regional Distribution Center 15,AZ,Scottsdale,272731,33.579519,-112.009567,cmp-wmt,distribution,industrial
bru-az-tempe-016,Tempe Industrial Park Building 16,AZ,Tempe,247756,33.452940,-111.875743,cmp-tgt,food_processing,commercial
bru-az-peoria-017,Peoria Manufacturing Campus 17,AZ,Peoria,187995,33.597260,-112.247029,cmp-amzn,distribution,logistics
bru-pa-philadelphia-018,Philadelphia Cold Storage Facility 18,PA,Philadelphia,369010,40.019262,-75.094807,cmp-pep,distribution,commercial
bru-pa-pittsburgh-019,Pittsburgh Fulfillment Hub 19,PA,Pittsburgh,433836,40.428258,-80.000181,cmp-mu,manufacturing,logistics
